time,seconds_elapsed,dBFS
1684213388673000000,48.268,-48.85664749145508
1684213388779000000,48.374,-50.8903694152832
1684213388884000000,48.479,-52.635494232177734
1684213388988000000,48.583,-52.30238342285156
1684213389094000000,48.68900024414062,-53.76646041870117
1684213389198000000,48.79300024414062,-52.54425811767578
1684213389300000000,48.895,-51.104698181152344
1684213389406000000,49.00100024414063,-49.970943450927734
1684213389510000000,49.105000244140626,-52.0526237487793
1684213389611000000,49.206,-53.16863250732422
1684213389716000000,49.311,-51.82676696777344
1684213389822000000,49.417000244140624,-49.21758270263672
1684213389923000000,49.518,-50.335697174072266
1684213390029000000,49.624,-46.94571304321289
1684213390134000000,49.72900024414062,-39.839595794677734
1684213390239000000,49.834,-41.234039306640625
1684213390342000000,49.93700024414063,-36.51063919067383
1684213390446000000,50.041000244140626,-29.510501861572266
1684213390551000000,50.146,-32.819854736328125
1684213390656000000,50.251,-36.885276794433594
1684213390761000000,50.356,-39.78108596801758
1684213390867000000,50.462,-43.77235794067383
1684213390967000000,50.562,-46.46303939819336
1684213391073000000,50.668,-49.40803527832031
1684213391178000000,50.772999755859374,-49.4521484375
1684213391282000000,50.87699975585937,-52.093257904052734
1684213391387000000,50.982,-51.98664093017578
1684213391492000000,51.087,-54.455020904541016
1684213391597000000,51.192,-44.426387786865234
1684213391700000000,51.295,-44.49307632446289
1684213391805000000,51.4,-45.43886947631836
1684213391911000000,51.506,-47.76308059692383
1684213392015000000,51.61,-49.97627639770508
1684213392121000000,51.716,-51.75393295288086
1684213392223000000,51.818,-51.83753204345703
1684213392325000000,51.92,-53.928688049316406
1684213392431000000,52.026,-53.216896057128906
1684213392534000000,52.12900024414063,-51.54576110839844
1684213392638000000,52.23300024414063,-50.76280975341797
1684213392743000000,52.338,-52.73796844482422
1684213392849000000,52.444,-54.443641662597656
1684213392953000000,52.548,-50.05268478393555
1684213393058000000,52.652999755859376,-51.65957260131836
1684213393162000000,52.756999755859376,-47.252071380615234
1684213393267000000,52.862,-46.48286056518555
1684213393368000000,52.963,-48.65039825439453
1684213393473000000,53.068,-50.708778381347656
1684213393577000000,53.172,-51.61029815673828
1684213393682000000,53.27699975585937,-50.855106353759766
1684213393787000000,53.382,-47.21471405029297
1684213393893000000,53.488,-49.33038330078125
1684213393998000000,53.593000244140626,-49.39126205444336
1684213394101000000,53.696,-51.74932861328125
1684213394200000000,53.795,-51.15542984008789
1684213394305000000,53.9,-53.447418212890625
1684213394411000000,54.006,-51.831783294677734
1684213394516000000,54.111,-52.04882049560547
1684213394620000000,54.215,-52.639434814453125
1684213394723000000,54.318,-48.019710540771484
1684213394828000000,54.423,-50.52684020996094
1684213394934000000,54.529000244140626,-50.825191497802734
1684213395033000000,54.628,-53.074005126953125
1684213395139000000,54.734,-51.978981018066406
1684213395243000000,54.838,-53.989200592041016
1684213395349000000,54.944,-54.56496810913086
1684213395453000000,55.048,-53.37435531616211
1684213395556000000,55.151,-54.66415786743164
1684213395662000000,55.25700024414063,-51.33405685424805
1684213395767000000,55.362,-53.731937408447266
1684213395867000000,55.462,-54.0654182434082
1684213395972000000,55.567,-53.702144622802734
1684213396076000000,55.671,-51.89014434814453
1684213396181000000,55.776,-52.54131317138672
1684213396286000000,55.88100024414062,-53.65845489501953
1684213396391000000,55.986,-56.05111312866211
1684213396496000000,56.091,-56.275856018066406
1684213396600000000,56.195,-53.524803161621094
1684213396703000000,56.298,-55.032657623291016
1684213396807000000,56.402,-53.86811828613281
1684213396912000000,56.507,-55.37826156616211
1684213397016000000,56.611,-56.137428283691406
1684213397121000000,56.716,-52.58567428588867
1684213397223000000,56.818,-51.696678161621094
1684213397327000000,56.922,-51.16958236694336
1684213397429000000,57.024,-52.82330322265625
1684213397531000000,57.126,-51.42465591430664
1684213397631000000,57.226,-51.43452072143555
1684213397734000000,57.32900024414062,-53.57860565185547
1684213397834000000,57.42899975585937,-54.92731857299805
1684213397934000000,57.529000244140626,-56.57284927368164
1684213398033000000,57.628,-54.72166061401367
1684213398134000000,57.72900024414062,-52.72336959838867
1684213398235000000,57.83,-54.98271560668945
1684213398339000000,57.934,-51.35048294067383
1684213398445000000,58.04,-51.31039810180664
1684213398549000000,58.144,-53.161582946777344
1684213398653000000,58.248,-53.27397537231445
1684213398759000000,58.354,-52.93696594238281
1684213398864000000,58.459,-54.52975082397461
1684213398967000000,58.562,-52.00127410888672
1684213399072000000,58.667,-50.662391662597656
1684213399177000000,58.772,-52.86589431762695
1684213399282000000,58.87699975585937,-53.13716125488281
1684213399386000000,58.98099975585937,-55.1239013671875
1684213399490000000,59.08499975585938,-49.01552963256836
1684213399595000000,59.19,-51.54679489135742
1684213399700000000,59.295,-53.09484100341797
1684213399806000000,59.401000244140626,-51.338985443115234
1684213399911000000,59.506,-52.16749954223633
1684213400012000000,59.607,-52.91241455078125
1684213400119000000,59.714,-45.304805755615234
1684213400224000000,59.819,-48.23419189453125
1684213400328000000,59.923,-49.21464157104492
1684213400433000000,60.028,-52.388370513916016
1684213400534000000,60.12900024414063,-53.99506378173828
1684213400639000000,60.234,-52.611568450927734
1684213400745000000,60.34,-54.077205657958984
1684213400850000000,60.44499975585938,-52.20536804199219
1684213400954000000,60.54899975585938,-52.66774368286133
1684213401060000000,60.655,-49.14406967163086
1684213401161000000,60.756,-50.68539047241211
1684213401267000000,60.862,-52.990413665771484
1684213401373000000,60.968,-51.735477447509766
1684213401478000000,61.07300024414062,-50.533294677734375
1684213401578000000,61.17299975585937,-52.60564422607422
1684213401681000000,61.276,-49.755828857421875
1684213401787000000,61.382,-51.661521911621094
1684213401892000000,61.487,-53.46929168701172
1684213401997000000,61.592,-54.94445037841797
1684213402100000000,61.695,-56.15006637573242
1684213402206000000,61.801000244140624,-54.23139572143555
1684213402311000000,61.906,-53.08987808227539
1684213402415000000,62.01,-54.67705535888672
1684213402521000000,62.116,-56.09074783325195
1684213402625000000,62.22,-57.35783386230469
1684213402733000000,62.328,-53.48027801513672
1684213402834000000,62.42899975585937,-54.89871597290039
1684213402939000000,62.534,-49.79249572753906
1684213403045000000,62.64,-51.07659912109375
1684213403150000000,62.74500024414063,-52.1677360534668
1684213403255000000,62.85,-53.780948638916016
1684213403359000000,62.954,-55.89933395385742
1684213403464000000,63.059,-53.10050582885742
1684213403567000000,63.162,-53.712398529052734
1684213403670000000,63.26500024414062,-49.549495697021484
1684213403771000000,63.366,-50.729393005371094
1684213403877000000,63.472,-52.31814193725586
1684213403981000000,63.576,-54.25495910644531
1684213404087000000,63.682,-55.379539489746094
1684213404188000000,63.783,-51.07059860229492
1684213404294000000,63.889000244140625,-52.420249938964844
1684213404398000000,63.993000244140624,-50.13058090209961
1684213404500000000,64.095,-49.987998962402344
1684213404605000000,64.2,-51.9350700378418
1684213404707000000,64.302,-54.1636962890625
1684213404813000000,64.408,-53.39868927001953
1684213404917000000,64.512,-54.84811019897461
1684213405020000000,64.615,-51.53990173339844
1684213405125000000,64.72,-53.217342376708984
1684213405229000000,64.824,-54.48796081542969
1684213405334000000,64.92900024414062,-53.52398681640625
1684213405437000000,65.032,-55.209259033203125
1684213405542000000,65.13700024414062,-53.2014045715332
1684213405647000000,65.242,-52.340248107910156
1684213405752000000,65.347,-52.954933166503906
1684213405855000000,65.45,-54.09312438964844
1684213405960000000,65.555,-55.796939849853516
1684213406065000000,65.66,-54.486629486083984
1684213406167000000,65.762,-56.77776336669922
