time,seconds_elapsed,dBFS
1684212958077000000,44.193,-39.86246871948242
1684212958182000000,44.298000244140624,-40.60095977783203
1684212958287000000,44.403,-39.5366096496582
1684212958390000000,44.50600024414062,-40.961021423339844
1684212958495000000,44.611,-39.60470962524414
1684212958596000000,44.712,-37.88632583618164
1684212958702000000,44.81800024414063,-37.661346435546875
1684212958807000000,44.923,-36.0130615234375
1684212958911000000,45.027,-37.406368255615234
1684212959017000000,45.133,-38.63109588623047
1684212959122000000,45.23799975585938,-38.08895492553711
1684212959227000000,45.343,-41.41762161254883
1684212959332000000,45.448,-45.55986022949219
1684212959437000000,45.553,-48.497920989990234
1684212959542000000,45.658000244140624,-41.511314392089844
1684212959644000000,45.76,-44.095027923583984
1684212959744000000,45.86,-46.634708404541016
1684212959850000000,45.96599975585937,-49.04624557495117
1684212959955000000,46.071,-51.34687042236328
1684212960057000000,46.173,-49.344764709472656
1684212960160000000,46.276,-51.42984390258789
1684212960266000000,46.381999755859376,-53.05720520019531
1684212960369000000,46.485,-44.551055908203125
1684212960475000000,46.591,-47.100685119628906
1684212960577000000,46.693,-49.52617645263672
1684212960682000000,46.79799975585937,-49.03321838378906
1684212960782000000,46.898000244140626,-51.06304168701172
1684212960888000000,47.004,-53.19923400878906
1684212960993000000,47.109,-54.570682525634766
1684212961098000000,47.213999755859376,-54.17338562011719
1684212961203000000,47.319,-51.480159759521484
1684212961307000000,47.423,-49.5685920715332
1684212961411000000,47.527,-47.475555419921875
1684212961516000000,47.632,-38.75782012939453
1684212961620000000,47.736,-39.405025482177734
1684212961725000000,47.841,-38.90918731689453
1684212961830000000,47.94600024414063,-40.147281646728516
1684212961932000000,48.048,-41.03911209106445
1684212962033000000,48.149,-38.44805145263672
1684212962134000000,48.25000024414062,-40.04921340942383
1684212962239000000,48.355,-39.197967529296875
1684212962342000000,48.45800024414063,-38.55821990966797
1684212962445000000,48.561,-38.728736877441406
1684212962550000000,48.666000244140626,-39.17169189453125
1684212962654000000,48.770000244140626,-37.75612258911133
1684212962762000000,48.87799975585938,-40.866554260253906
1684212962864000000,48.98,-44.365718841552734
1684212962967000000,49.083,-47.79145050048828
1684212963073000000,49.189,-49.23644256591797
1684212963178000000,49.293999755859375,-49.97852325439453
1684212963278000000,49.39400024414063,-48.05548858642578
1684212963383000000,49.499,-49.9378547668457
1684212963484000000,49.6,-50.44310760498047
1684212963589000000,49.705,-51.7165412902832
1684212963690000000,49.805999755859375,-49.180057525634766
1684212963795000000,49.911,-51.21883010864258
1684212963900000000,50.016,-49.66444778442383
1684212964002000000,50.11799975585937,-50.58110809326172
1684212964107000000,50.223,-44.01319885253906
1684212964211000000,50.327,-46.542724609375
1684212964315000000,50.431,-49.090267181396484
1684212964421000000,50.537,-51.13157653808594
1684212964525000000,50.641,-53.46634292602539
1684212964631000000,50.747,-46.29975509643555
1684212964736000000,50.852,-46.1196174621582
1684212964840000000,50.956,-41.00767517089844
1684212964944000000,51.06,-37.836219787597656
1684212965044000000,51.16,-37.199275970458984
1684212965150000000,51.26600024414063,-37.06198501586914
1684212965255000000,51.371,-37.159339904785156
1684212965360000000,51.476,-38.65963363647461
1684212965460000000,51.576,-39.2221794128418
1684212965563000000,51.679,-36.75969696044922
1684212965669000000,51.785,-36.8259162902832
1684212965773000000,51.889,-36.705894470214844
1684212965878000000,51.99400024414062,-36.08794403076172
1684212965979000000,52.095,-33.70280456542969
1684212966081000000,52.197,-37.30716323852539
1684212966186000000,52.30199975585938,-40.6673469543457
1684212966291000000,52.407,-44.26950454711914
1684212966391000000,52.507,-46.93037796020508
1684212966497000000,52.613,-48.64137649536133
1684212966602000000,52.717999755859374,-50.28787612915039
1684212966707000000,52.823,-49.99528503417969
1684212966811000000,52.927,-37.21482849121094
1684212966916000000,53.032,-40.2467041015625
1684212967020000000,53.136,-44.37044906616211
1684212967126000000,53.24200024414063,-47.320552825927734
1684212967229000000,53.345,-49.58516311645508
1684212967334000000,53.450000244140625,-52.65519332885742
1684212967439000000,53.555,-54.3320198059082
1684212967544000000,53.66,-53.186431884765625
1684212967644000000,53.76,-44.12216567993164
1684212967744000000,53.86,-46.62752151489258
1684212967846000000,53.962000244140626,-49.197265625
1684212967951000000,54.067,-47.06395721435547
1684212968055000000,54.171,-49.57454299926758
1684212968159000000,54.275,-51.33197784423828
1684212968265000000,54.381,-51.13128662109375
1684212968369000000,54.485,-52.36036682128906
1684212968475000000,54.591,-48.075435638427734
1684212968577000000,54.693,-49.17417907714844
1684212968682000000,54.79799975585937,-43.99746322631836
1684212968787000000,54.903,-38.344627380371094
1684212968891000000,55.007,-40.090084075927734
1684212968996000000,55.112,-39.35655212402344
1684212969097000000,55.213,-40.8682975769043
1684212969198000000,55.31400024414062,-36.55605697631836
1684212969303000000,55.419,-38.405052185058594
1684212969406000000,55.52200024414063,-37.65644073486328
1684212969511000000,55.627,-36.617435455322266
1684212969616000000,55.732,-38.33920669555664
1684212969718000000,55.834000244140626,-32.935245513916016
1684212969823000000,55.939,-34.90998840332031
1684212969928000000,56.044,-37.95667266845703
1684212970029000000,56.145,-42.17342758178711
1684212970134000000,56.25000024414062,-45.2557373046875
1684212970237000000,56.353,-48.16387939453125
1684212970343000000,56.459,-49.91634750366211
1684212970444000000,56.56,-51.22319412231445
1684212970550000000,56.666000244140626,-52.71391677856445
1684212970655000000,56.771,-52.31576156616211
1684212970758000000,56.874000244140625,-52.67412185668945
1684212970862000000,56.978000244140624,-54.1666374206543
1684212970964000000,57.08,-53.3836555480957
1684212971070000000,57.18600024414062,-53.043739318847656
1684212971175000000,57.291,-50.47359085083008
1684212971277000000,57.393,-51.94068145751953
1684212971380000000,57.496,-54.189666748046875
1684212971484000000,57.6,-50.37405014038086
1684212971590000000,57.706000244140625,-52.541404724121094
1684212971691000000,57.807,-44.843902587890625
1684212971796000000,57.912,-48.057125091552734
1684212971897000000,58.013,-50.73841094970703
1684212972003000000,58.119,-45.22871017456055
1684212972108000000,58.224,-45.818294525146484
1684212972211000000,58.327,-42.11168670654297
1684212972314000000,58.42999975585938,-39.31748962402344
1684212972419000000,58.535,-37.75885009765625
1684212972524000000,58.64,-36.584259033203125
1684212972629000000,58.745,-36.22148513793945
1684212972734000000,58.850000244140624,-38.28937530517578
1684212972839000000,58.955,-39.620758056640625
1684212972944000000,59.06,-37.66986846923828
1684212973049000000,59.165,-37.545989990234375
1684212973154000000,59.269999755859374,-37.13680648803711
1684212973259000000,59.375,-38.01999282836914
1684212973364000000,59.48,-37.767982482910156
1684212973469000000,59.585,-41.07914733886719
1684212973575000000,59.691,-43.96940994262695
